time,user_id,user_name,content,grade,fans_club
21:09:58,77416951506,ら孤痞,@张君雅的绯闻男友 晚上好,[等级36],[粉丝团:张君雅 Lv17]
21:10:10,60696366025,♥,[捂脸][捂脸][捂脸],[等级28],[粉丝团 Lv9]
21:10:11,59121284288,张君雅的绯闻男友,@ら孤痞 晚上好,[等级24],[粉丝团 Lv11]
21:10:14,107840718348,丫丫吖,牛掰牛掰[666][666][666],[等级19],[粉丝团 Lv13]
21:10:14,101138818359,小鱼,[捂脸][捂脸][捂脸],[等级34],[粉丝团 Lv15]
21:10:15,24842801249,chenshu,老弟[捂脸][捂脸][捂脸],[等级16],[粉丝团 Lv10]
21:10:17,63416229807,风沙迷了眼⁵¹⁰⁷⁴,[666][666][666],[等级21],[粉丝团 Lv15]
21:10:17,105392418367,TB12,[666][666][666],[等级24],[粉丝团 Lv15]
21:10:17,2008152259705040,汉、歼的审判者,[捂脸][捂脸][捂脸],[等级15],[粉丝团 Lv12]
21:10:17,59197600987,冬玥,哇哇哇🤩🤩🤩,[等级13],[粉丝团 Lv10]
21:10:18,2330588968395416,贝塔β,雷扔哪里了,[等级25],[粉丝团 Lv14]
21:10:22,59121284288,张君雅的绯闻男友,666,[等级24],[粉丝团 Lv11]
21:10:23,2928696292811743,超影独行,拿捏🤏🏻,[等级18],[粉丝团 Lv12]
21:10:26,73133140989,行稳致远,[666][666][666],[等级31],[粉丝团 Lv15]
21:10:33,101183465460,今天还是没早睡！,直播卡还是我网卡啊,[等级6],[粉丝团 Lv2]
21:10:35,3712397299157015,昍翀🦁🐾,老弟还得练[懵][懵][懵],[等级6],[粉丝团 Lv5]
21:10:38,2652457515884291,小糯米,[666][666][666][666][666][666][666][666],[等级12],[粉丝团 Lv12]
21:10:44,67003428351,@M,200大工,[等级17],[粉丝团 Lv11]
21:10:52,11805950518,深情（张君雅助理）,@今天还是没早睡！ 你卡,[等级39],[粉丝团:张君雅 Lv18]
21:10:52,1978736643939053,將劲夫,粉丝撞车,[等级18],
21:10:53,102863732008,星空之恋酒吧,直播卡还是我卡？,[等级24],
21:10:55,2652457515884291,小糯米,哟嚯,[等级12],[粉丝团 Lv12]
21:10:57,92460650653,悯诉,露秒,[等级13],[粉丝团 Lv11]
21:11:02,4146955994276195,我的个乖乖,信号弹没捡吧,[等级20],[粉丝团 Lv8]
21:11:04,2040334290789277,星晴月落,直播卡,[等级14],[粉丝团 Lv2]
21:11:06,2274247923467549,知遇👣,打,[等级24],[粉丝团 Lv10]
21:11:07,1310218328745520,用户9693916277161,打暗号,[等级25],[粉丝团 Lv10]
21:11:07,2928696292811743,超影独行,打暗号[捂脸],[等级18],[粉丝团 Lv12]
21:11:09,2245633445207115,hello,他在直播间,[等级2],[粉丝团 Lv4]
21:11:09,59197600987,冬玥,？？信号？ 漏就秒[看],[等级13],[粉丝团 Lv10]
21:11:14,1978736643939053,將劲夫,窥子,[等级18],
21:11:15,2875967640449822,万柳柳小趴菜,信号枪,[等级22],[粉丝团 Lv12]
21:11:16,2008152259705040,汉、歼的审判者,一直在打暗号[捂脸],[等级15],[粉丝团 Lv12]
21:11:17,52699234548,漆二漆,卡了,[等级26],
21:11:22,2274247923467549,知遇👣,打不过打什么暗号,[等级24],[粉丝团 Lv10]
21:11:26,2040334290789277,星晴月落,刚刚去捡200，下一秒跳到山顶打人了,[等级14],[粉丝团 Lv2]
21:11:28,2652457515884291,小糯米,窥子,[等级12],[粉丝团 Lv12]
21:11:30,4011439661778159,伍壹捌,这种打暗号也得揍他,[等级18],[粉丝团 Lv11]
21:11:35,7499824771601810492,调戏,我靠，这不是我梦中情人老黑吗,,
21:11:37,2652457515884291,小糯米,一分钟前位置,[等级12],[粉丝团 Lv12]
21:11:41,4047732228236090,夸张,怎么样才能做到每次开镜瞄到想瞄准得地方？,[等级11],[粉丝团 Lv1]
21:11:43,3852291762041080,光头有点闲,干他,[等级14],[粉丝团 Lv13]
21:11:57,101946506263,叠泉,不是跑路就是还在、！,[等级12],[粉丝团 Lv9]
21:12:10,7499824771601810492,调戏,我手机沙漠王牌八星被打惨了,,
21:12:12,98415794567,Mr.K先生,@夸张 预瞄点,[等级18],[粉丝团 Lv11]
21:12:13,93230204686,ik,干他,[等级14],
21:12:16,3116470416186508,我想吃冰激凌🍦,1080,[等级2],[粉丝团 Lv2]
21:12:24,92850574669,陈可安,老黑,[等级34],
21:12:29,80821383805,小怪,@夸张 先练预瞄[发呆],[等级30],[粉丝团 Lv15]
21:12:30,58781889245,梦书涵,信号枪,[等级12],[粉丝团 Lv2]
21:12:36,105476716626,💫迷,王,[等级24],[粉丝团 Lv15]
21:12:39,7615988333545931813,ik-🦋,这也太肥了吧  [捂脸],,
21:12:41,4111770759213326,锅盖只爱看美女,@夸张 手指头自己知道瞄哪里,[等级24],[粉丝团 Lv5]
21:12:45,84800246534,我姓王～住你家隔壁,1080,[等级11],
21:12:49,7499824771601810492,调戏,近战他就是饿死,,
21:12:52,2040334290789277,星晴月落,怎么练预瞄,[等级14],[粉丝团 Lv2]
21:13:01,2629660048374499,柿子。,诗雅，你有连锁吃鸡吗？,[等级18],
21:13:11,2008152259705040,汉、歼的审判者,@颖 [抱抱你][抱抱你][抱抱你],[等级15],[粉丝团 Lv12]
21:13:13,58781889245,梦书涵,空投是老黑配的音吗[捂脸][捂脸][捂脸],[等级12],[粉丝团 Lv2]
21:13:15,2629660048374499,柿子。,张君雅超级呀！,[等级18],
21:13:17,2701924113590364,山风,注意音量⚠️,[等级8],[粉丝团 Lv10]
21:13:19,85581134720,@江先生（黔枢）,五六把信号枪，这么肥,[等级27],[粉丝团 Lv7]
21:13:21,110916396290,？,@颖 谢谢美女[比心],[等级21],[粉丝团 Lv11]
21:13:24,105346528919,清风💕,感谢大哥的小飞机,[等级28],[粉丝团 Lv5]
21:13:46,42260653149018,追猎,1080,[等级1],
21:13:46,63169990363,Li,发财,[等级20],[粉丝团 Lv2]
21:13:57,1224196858326592,X-T16-Lib,接单吗主播,[等级4],
21:14:06,99776070009,碎冰冰💦💦💦,@梦书涵 是滴,[等级31],
21:14:24,94621081467,雨踏歌行.,@X-T16-Lib 她接单很贵的,[等级20],[粉丝团 Lv15]
21:14:28,64210044708,ℳ̶̶̶̶♡̶҉夏枫ᥫᩣ,@X-T16-Lib 猫局接,[等级30],[粉丝团 Lv12]
21:14:30,7537543801662129212,一念晓,猫局是主播的亲哥吗,[等级3],
21:14:33,73486945027,樵夫,这智商[捂脸][捂脸][捂脸],[等级15],
21:14:46,7472245406539154491,Nuyoah.,@一念晓 不是,[等级10],[粉丝团 Lv9]
21:14:46,4503658257446344,🥐cornetto,打了不要丢  丢了搜不到,[等级41],[粉丝团 Lv4]
21:14:47,1783871614746848,神秘人🅥,@一念晓 堂哥,[等级26],[粉丝团 Lv9]
21:14:48,2330588968395416,贝塔β,@一念晓 异父异母的亲哥[看],[等级25],[粉丝团 Lv14]
21:14:49,57138963899,皮蛋睡不醒,@一念晓 是的,[等级15],[粉丝团 Lv10]
21:14:51,1224196858326592,X-T16-Lib,有多贵？,[等级4],
21:15:02,68189106631,𝑶𝒏𝒆,还有个信号枪,[等级30],[粉丝团 Lv10]
21:15:12,4258846191921225,幸福的终点是你,[舔屏][如花][舔屏][如花][舔屏][如花][强][如花][强][如花][强][如花],[等级5],
21:15:13,104488141468,蓝铮铮铮,@X-T16-Lib 别在公屏问，她看不到，私信她助理深情,[等级25],[粉丝团 Lv11]
21:15:21,101138818359,小鱼,@X-T16-Lib 不接[比心][比心][比心],[等级34],[粉丝团 Lv15]
21:15:39,1224196858326592,X-T16-Lib,不接啊,[等级4],
21:15:45,1224196858326592,X-T16-Lib,好吧,[等级4],
21:15:59,1654084920948256,无所谓,找自救器,[等级3],
